,Position,Squad,Played,Wins,Draws,Losses,GF,GA,GD,Points
0,1,Arsenal,0,0,0,0,0,0,0,0
1,2,Aston Villa,0,0,0,0,0,0,0,0
2,3,Bournemouth,0,0,0,0,0,0,0,0
3,4,Brentford,0,0,0,0,0,0,0,0
4,5,Brighton,0,0,0,0,0,0,0,0
5,6,Chelsea,0,0,0,0,0,0,0,0
6,7,Crystal Palace,0,0,0,0,0,0,0,0
7,8,Everton,0,0,0,0,0,0,0,0
8,9,Fulham,0,0,0,0,0,0,0,0
9,10,Ipswich Town,0,0,0,0,0,0,0,0
10,11,Leicester City,0,0,0,0,0,0,0,0
11,12,Liverpool,0,0,0,0,0,0,0,0
12,13,Manchester City,0,0,0,0,0,0,0,0
13,14,Manchester Utd,0,0,0,0,0,0,0,0
14,15,Newcastle Utd,0,0,0,0,0,0,0,0
15,16,Nott'ham Forest,0,0,0,0,0,0,0,0
16,17,Southampton,0,0,0,0,0,0,0,0
17,18,Tottenham,0,0,0,0,0,0,0,0
18,19,West Ham,0,0,0,0,0,0,0,0
19,20,Wolves,0,0,0,0,0,0,0,0
