,Season,Squad,W,D,L,GF,GA,Pts,Sh,SoT,FK,PK,Cmp,Att,Cmp%,CK,CrdY,CrdR,Fls,PKcon,OG
0,2023-2024,Manchester City,28,7,3,96,34,91,647,209,6,10,19094,22558,84.6,265,64,2,391,3,1
1,2023-2024,Arsenal,28,5,5,91,29,89,511,182,15,4,16133,19363,83.3,231,94,2,412,2,4
2,2023-2024,Liverpool,24,10,4,86,41,82,539,175,18,2,11899,15920,74.7,235,79,3,507,7,1
3,2023-2024,Aston Villa,20,8,10,76,61,68,470,159,17,3,12551,16818,74.6,184,89,2,385,2,0
4,2023-2024,Tottenham,20,6,12,74,61,66,555,198,11,5,21810,25029,87.1,206,90,3,414,6,2
5,2023-2024,Chelsea,18,9,11,77,63,63,430,137,13,3,13937,17959,77.6,180,77,7,429,7,3
6,2023-2024,Newcastle Utd,18,6,14,85,62,60,537,194,22,11,20039,23364,85.8,202,109,4,446,5,3
7,2023-2024,Manchester Utd,18,6,14,57,58,60,452,162,20,4,12915,16754,77.1,178,73,2,457,3,2
8,2023-2024,West Ham,14,10,14,60,74,52,504,152,14,2,11349,15514,73.2,181,82,1,457,8,3
9,2023-2024,Crystal Palace,13,10,15,57,58,49,499,175,14,2,16311,20237,80.6,212,84,4,384,8,4
10,2023-2024,Brighton,12,12,14,55,62,48,781,263,18,6,20376,24379,83.6,287,69,5,463,1,2
11,2023-2024,Bournemouth,13,9,16,54,67,48,427,134,11,5,11048,15099,73.2,203,71,0,443,4,4
12,2023-2024,Fulham,13,8,17,55,61,47,683,264,25,9,24616,27758,88.7,286,53,2,289,3,1
13,2023-2024,Wolves,13,7,18,50,65,46,543,182,15,6,15788,19542,80.8,224,83,1,401,7,1
14,2023-2024,Everton,13,9,16,40,51,42,542,196,9,8,16116,19855,81.2,192,79,1,386,5,1
15,2023-2024,Brentford,10,9,19,56,65,39,450,143,7,1,11873,15673,75.8,148,82,3,428,4,2
16,2023-2024,Nott'ham Forest,9,9,20,49,67,32,360,117,8,5,9521,13498,70.5,141,101,5,423,7,7
17,2023-2024,Luton Town,6,8,24,52,85,26,582,207,11,2,20649,24197,85.3,234,92,4,425,7,3
18,2023-2024,Burnley,5,9,24,41,78,24,445,146,17,4,12568,16373,76.8,165,82,3,390,10,4
19,2023-2024,Sheffield Utd,3,7,28,35,104,16,425,153,12,4,15484,19175,80.8,156,102,4,476,8,1
20,2022-2023,Manchester City,28,5,5,94,33,89,589,194,16,3,18281,21969,83.2,223,51,0,373,5,1
21,2022-2023,Arsenal,26,6,6,88,43,84,427,145,18,3,13782,17396,79.2,162,80,1,417,6,4
22,2022-2023,Manchester Utd,23,6,9,58,43,75,358,126,14,0,11715,15381,76.2,144,68,0,391,7,3
23,2022-2023,Newcastle Utd,19,14,5,68,33,71,400,147,14,7,11317,15551,72.8,163,57,1,354,2,3
24,2022-2023,Liverpool,19,10,9,75,47,67,607,219,12,6,19210,22888,83.9,233,58,0,427,8,6
25,2022-2023,Brighton,18,8,12,72,53,62,481,151,10,3,19147,22836,83.8,209,81,3,397,1,3
26,2022-2023,Aston Villa,18,7,13,51,46,61,423,133,23,1,13395,17308,77.4,186,82,3,446,4,3
27,2022-2023,Tottenham,18,6,14,70,63,60,426,143,12,3,11790,15783,74.7,174,81,2,396,6,0
28,2022-2023,Brentford,15,14,9,58,46,59,420,137,17,5,13974,18014,77.6,182,80,1,411,8,2
29,2022-2023,Fulham,15,7,16,55,53,52,459,141,19,1,12437,16924,73.5,199,89,3,467,6,1
30,2022-2023,Crystal Palace,11,12,15,40,49,45,412,142,14,3,14887,18871,78.9,135,63,2,410,5,5
31,2022-2023,Chelsea,11,11,16,38,47,44,601,203,7,2,20043,24361,82.3,235,57,1,405,4,2
32,2022-2023,Wolves,11,8,19,31,58,41,590,205,20,9,23263,26642,87.3,238,44,1,347,3,1
33,2022-2023,West Ham,11,7,20,42,55,40,590,206,20,3,16603,20525,80.9,196,78,2,424,3,1
34,2022-2023,Bournemouth,11,6,21,37,71,39,565,184,15,6,13925,17837,78.1,270,61,1,406,5,2
