,0
0,Accrington
1,Arsenal
2,Aston Villa
3,Barnsley
4,Birmingham
5,Birmingham City
6,Blackburn
7,Blackpool
8,Bolton
9,Bournemouth
10,Bradford City
11,Bradford PA
12,Brentford
13,Brighton
14,Bristol City
15,Burnley
16,Bury
17,Cardiff City
18,Carlisle United
19,Charlton Ath
20,Chelsea
21,Coventry City
22,Crystal Palace
23,Darwen
24,Derby County
25,Everton
26,Fulham
27,Glossop NE
28,Grimsby Town
29,Huddersfield
30,Hull City
31,Ipswich Town
32,Leeds United
33,Leicester City
34,Leyton Orient
35,Liverpool
36,Luton Town
37,Manchester City
38,Manchester Utd
39,Middlesbrough
40,Millwall
41,Newcastle Utd
42,Newton Heath
43,Northampton
44,Norwich City
45,Nott'ham Forest
46,Notts County
47,Oldham Athletic
48,Oxford United
49,Portsmouth
50,Preston
51,QPR
52,Reading
53,Sheffield Utd
54,Sheffield Weds
55,Small Heath
56,Southampton
57,Stoke
58,Stoke City
59,Sunderland
60,Swansea City
61,Swindon Town
62,The Wednesday
63,Tottenham
64,Watford
65,West Brom
66,West Ham
67,Wigan Athletic
68,Wimbledon
69,Wolves
